epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,262.687,0.58758,1.0206,0.56773,0.99076,0.90555,0.94014,0.95152,0.82654,0.87892,0.90825,0.92265,0.78886,0.51262,1.24313,0.5437,0.95168,0.00648071,0.00648071,0.00648071
63,266.339,0.62139,1.05605,0.56049,1.02012,0.89646,0.96662,0.96584,0.82394,0.88048,0.92446,0.9367,0.79817,0.53691,1.10728,0.52632,0.97155,0.00638115,0.00638115,0.00638115
64,270.09,0.62851,1.06393,0.56331,0.98103,0.86596,0.92944,0.95634,0.82101,0.90801,0.89149,0.94458,0.7782,0.54113,1.25192,0.56325,0.98148,0.00628101,0.00628101,0.00628101
65,274.884,0.59601,1.01717,0.54311,0.98235,0.87186,0.92679,0.95619,0.8063,0.91447,0.8605,0.9282,0.75955,0.57162,1.29171,0.60486,0.98964,0.00618034,0.00618034,0.00618034
66,278.746,0.58943,1.07152,0.55778,1.00091,0.82911,0.88949,0.95171,0.80672,0.82562,0.87962,0.92873,0.77488,0.59358,1.3504,0.66281,1.0003,0.00607916,0.00607916,0.00607916
67,282.44,0.63072,1.07431,0.57711,1.00967,0.89321,0.92022,0.94223,0.7954,0.89166,0.91827,0.93038,0.78006,0.57654,1.37649,0.59723,1.00353,0.00597754,0.00597754,0.00597754
68,286.867,0.59529,0.94555,0.54606,0.98141,0.90193,0.91174,0.93935,0.79131,0.89117,0.89593,0.92074,0.77981,0.5979,1.42799,0.78221,0.99226,0.00587551,0.00587551,0.00587551
69,291.049,0.57879,0.92855,0.53479,0.98435,0.91489,0.88487,0.93946,0.82158,0.9067,0.87094,0.93335,0.77896,0.55436,1.48211,0.89937,0.99832,0.00577311,0.00577311,0.00577311
70,294.777,0.59375,1.04155,0.56191,0.99836,0.91143,0.91943,0.95756,0.83567,0.89918,0.88475,0.92301,0.79261,0.53506,1.51418,0.69181,0.98055,0.0056704,0.0056704,0.0056704
71,298.703,0.56829,0.95524,0.53311,0.98845,0.88198,0.92932,0.95074,0.81842,0.90343,0.84293,0.91016,0.77714,0.55124,1.47521,0.61776,0.99399,0.00556742,0.00556742,0.00556742
72,303.374,0.57278,0.9631,0.54395,0.96771,0.89714,0.86965,0.94694,0.82163,0.86107,0.88163,0.91974,0.79241,0.50166,1.44918,0.59622,0.96308,0.00546421,0.00546421,0.00546421
73,307.236,0.55988,0.91903,0.52498,0.98928,0.82976,0.94038,0.9414,0.82151,0.82389,0.89364,0.91165,0.79447,0.51032,1.3059,0.57208,0.97864,0.00536081,0.00536081,0.00536081
74,311.233,0.55543,0.98192,0.54159,0.97825,0.90982,0.88948,0.94175,0.80733,0.8861,0.85849,0.90932,0.784,0.51513,1.21324,0.57286,0.96359,0.00525728,0.00525728,0.00525728
75,315.978,0.57031,0.90578,0.50855,0.969,0.88747,0.90896,0.94107,0.80107,0.87502,0.90013,0.9089,0.77536,0.5246,1.19102,0.59167,0.98419,0.00515366,0.00515366,0.00515366
76,320.083,0.56233,0.90171,0.51985,0.98684,0.9229,0.86189,0.95237,0.83307,0.87886,0.83716,0.91602,0.78538,0.48136,1.25901,0.60845,0.96333,0.00505,0.00505,0.00505
77,323.967,0.57799,1.05871,0.53965,0.98387,0.92044,0.89779,0.94918,0.83478,0.89166,0.87192,0.9233,0.78993,0.46663,1.35993,0.55241,0.95074,0.00494634,0.00494634,0.00494634
78,328.887,0.54998,0.86954,0.53263,0.99316,0.90296,0.8618,0.93845,0.81119,0.902,0.85943,0.91037,0.76958,0.51007,1.431,0.61991,0.96715,0.00484272,0.00484272,0.00484272
79,332.822,0.54831,0.89197,0.52122,0.98208,0.89031,0.89771,0.94189,0.83254,0.87588,0.87912,0.89932,0.77267,0.46872,1.35749,0.56314,0.94433,0.00473919,0.00473919,0.00473919
80,336.665,0.52967,0.89466,0.50065,0.97126,0.88655,0.9151,0.94636,0.83801,0.86453,0.87007,0.90472,0.77562,0.51265,1.29974,0.5846,0.95379,0.00463579,0.00463579,0.00463579
